epoch,binary_acc_ch0,binary_crossentropy,dice_coef,loss,val_binary_acc_ch0,val_binary_crossentropy,val_dice_coef,val_loss
0,0.9438063615844363,0.08036241414291519,0.25044185552923454,0.3480407106024878,0.9940605958302816,0.016944706672802567,0.24982635863125324,0.31023629009723663
1,0.9878152097974505,0.021177127203416257,0.42543897174653555,0.24253066309860774,0.9826182176669439,0.021204972406849265,0.26348016535242397,0.3073309039076169
2,0.9896051486333212,0.019364541973031703,0.48501675043787273,0.2176120245740527,0.9894771625598272,0.016411246188605826,0.31490737448136014,0.28388385598858196
3,0.9929986227126348,0.014635889214419183,0.5313231192883991,0.19625233042807805,0.9915861884752909,0.01619673954943816,0.2940648744503657,0.292092668513457
4,0.9923320810000101,0.01627421481091352,0.5402084503855024,0.1936811897016707,0.9885820746421814,0.01711694981592397,0.32660331577062607,0.2796284779906273
5,0.9927714608964466,0.014600625660802637,0.574043767792838,0.17914281146866934,0.9860119918982188,0.018504800895849865,0.32637545093894005,0.28055283923943836
6,0.9933662499700274,0.014248317861486049,0.5897667436372667,0.17264250488508315,0.9890576352675756,0.016700828758378822,0.35883928338686627,0.2664849894742171
7,0.9931678431374686,0.013423240610531397,0.6010173076675052,0.16764700554666065,0.9883465518554052,0.017294180269042652,0.36220959077278775,0.2654933122297128
8,0.993755354767754,0.012328648762333961,0.6330644318035671,0.15417153920446122,0.9912365625301996,0.016056370533381898,0.37464407210548717,0.25977689400315285
9,0.9935470393725804,0.013771920198840755,0.627148429552714,0.15740379549208142,0.9873935977617899,0.01868623619278272,0.339979221423467,0.27521954476833344
10,0.9936335881551107,0.013121332618452254,0.6523670128413609,0.14692604399862744,0.9858693132797877,0.020044048394386966,0.34893980746467906,0.272450281927983
11,0.9940288152013507,0.01190355351372134,0.6613837764376685,0.14258855226494016,0.9868490596612295,0.020834764077638585,0.3425297252833843,0.27548858771721524
12,0.9945218818528312,0.01058405012424503,0.6733658143452236,0.13700449502184278,0.9893330683310827,0.017978378338739276,0.39642690246303874,0.25221482912699383
13,0.993353423618135,0.013500361614638851,0.6863239350773039,0.13357079170999073,0.9933073123296102,0.016951811189452808,0.42977744216720265,0.2382591851055622
14,0.994169328893934,0.011731131667537349,0.6941712725730169,0.129370456295354,0.9896027644475301,0.018445882946252823,0.37617218494415283,0.2605989451209704
15,0.9943297931126186,0.011387466053877558,0.7094896293821789,0.12303626253491357,0.9907049139340719,0.01716047680626313,0.39174141238133114,0.2535989210009575
16,0.9943956250236148,0.011278027069887944,0.7173188726107279,0.11983916482755116,0.9873475581407547,0.02026742595868806,0.3853641524910927,0.2580147994061311
17,0.9942746815227327,0.011001812382822945,0.71396594671976,0.12101498423587709,0.9911878307660421,0.018401200727870066,0.3869335825244586,0.25626959403355914
18,0.9945811118398394,0.010812219853202501,0.7321340044339498,0.11363382282711211,0.9906583577394485,0.01821791931676368,0.42567819356918335,0.24065936480959257
19,0.9945690149352664,0.010287820805041563,0.7454517143113273,0.10799212540899004,0.9912522931893667,0.017567601520568132,0.4073398808638255,0.24760358035564423
20,0.9946243138540358,0.010698954973902022,0.7518832456497919,0.1056661219114349,0.9921771933635076,0.017710607809325058,0.45033259068926174,0.23049407824873924
21,0.9946568012237549,0.010218829271339235,0.7537114932423546,0.1046470400123369,0.9926644066969553,0.01765102210144202,0.42304868002732593,0.24137119203805923
22,0.9943574979191735,0.011455997602925413,0.7506443545931861,0.1066161688594591,0.9901513208945593,0.018939175875857472,0.42771810417373973,0.24027701591451964
23,0.9942523893855867,0.011340241945747818,0.7418825058710008,0.11005101246493203,0.9926374355951945,0.019914295834799606,0.3806198053061962,0.25970108558734256
24,0.9936204353968302,0.01337102944740937,0.7492021747997829,0.1083419503910201,0.9936865816513697,0.015575294538090626,0.49450835833946866,0.21154210964838663
25,0.9945323155039832,0.011008478080232939,0.7438192566235861,0.10907750683171409,0.9906171460946401,0.019851410451034706,0.4221463178594907,0.24305168042580286
26,0.9945494390669323,0.010331874358512107,0.7841704175585792,0.09253074867384774,0.9928276439507803,0.016830345382913947,0.48511683320005733,0.21605212862292925
27,0.9949175374848502,0.008987222620773883,0.7910761010079157,0.0889618368375869,0.9902385671933492,0.019705298434322078,0.4537851884961128,0.23030870159467062
28,0.995032168570019,0.009089641539113862,0.7955769981656756,0.08722303523903802,0.9911740074555079,0.018775579597180087,0.47102096925179165,0.22285597026348114
29,0.9950138983272371,0.00899897331726693,0.7938359606833685,0.08786520007110778,0.9940937360127767,0.016114256732786696,0.5273338705301285,0.19873497945566973
30,0.994857981091454,0.00966679360274048,0.8008420353844052,0.08546348696663267,0.993554542462031,0.01611893771526714,0.5266376857956251,0.19901584833860397
31,0.9951065693582807,0.008677971615855182,0.8106150683902559,0.08096071084340413,0.9944891730944315,0.01589502751206358,0.5286115172008673,0.19809124370416006
32,0.9949101238023668,0.009008503940311215,0.8179459543455214,0.07822682069880622,0.9935333679119746,0.01618220517411828,0.5294243693351746,0.19793973863124847
33,0.9953119981856573,0.007866086815262125,0.8245418270428976,0.07490288359778267,0.992798775434494,0.01684016959431271,0.5187725598613421,0.20259512898822626
34,0.9951266135488238,0.008280076263915925,0.8236440107935951,0.07551058310837973,0.9925141036510468,0.017309674915547173,0.5160934800903002,0.20394746152063212
35,0.995261916092464,0.007894984424291622,0.8291008500825792,0.07309656448307492,0.9922044972578684,0.017907566934203107,0.5112252210577329,0.20625356833140054
36,0.9949773408117748,0.008419805139835392,0.8278291367349171,0.07392032763787679,0.9930167893568674,0.016796258666242164,0.5270353307326635,0.1992628083874782
37,0.9952848213059562,0.007773635199382191,0.8280798367091587,0.07343246752307528,0.9934564232826233,0.01752015808597207,0.4952080448468526,0.21242853502432504
38,0.9952827237901234,0.007800002050186906,0.8374923240570795,0.06968323762218158,0.9927189747492472,0.01817616696159045,0.49349331359068555,0.21350887169440588
39,0.9953518112500509,0.007091621025687172,0.8500142835435414,0.0642491744032928,0.9935894658168157,0.017671708405638736,0.5237631226579348,0.20109655459721884
40,0.9954852433431716,0.006984742602244729,0.8458652240889413,0.0658448828118188,0.9915272494157156,0.019831793072323006,0.4764248530069987,0.2213283528884252
41,0.9950997715904599,0.007786452415443602,0.8499722196942284,0.0646830110677651,0.993833194176356,0.016717090271413326,0.5112164268891016,0.20554369688034058
42,0.9952100004468646,0.007450957826915241,0.8487303938184466,0.06497836077497118,0.9929102957248688,0.018091290568312008,0.5343636398514112,0.19710921496152878
43,0.9954773897216433,0.00725345541944816,0.8558201789855957,0.06202395845736776,0.9924192428588867,0.019120644700403016,0.5229132920503616,0.2023073434829712
44,0.9952683704239982,0.007314743917612802,0.8533926577795119,0.06303163404975619,0.9938291807969412,0.016638543068741758,0.5548049360513687,0.18806126900017262
45,0.9954860040119716,0.006882483405726296,0.8624044117473421,0.05916772197399821,0.9925910433133444,0.0188998404579858,0.5009785989920298,0.21094831575949988
46,0.995369071052188,0.00693155164342551,0.8679858786719186,0.05696456826158932,0.9938077429930369,0.016707693769906957,0.5595666617155075,0.1861982848495245
47,0.9955658543677557,0.00671839119777793,0.8619399950617835,0.059255056792781466,0.9952970345815023,0.014724627447625002,0.5880464712778727,0.1736161926140388
48,0.9953891237576803,0.00705433798776496,0.8652262574150449,0.05814196577384358,0.993028591076533,0.018388130081196625,0.5529000237584114,0.1898726218690475
49,0.9954386381875902,0.006937607812384765,0.8702981046267918,0.05604327168493044,0.9934346526861191,0.017424945331489045,0.5500140835841497,0.19044918132325014
50,0.995601889632997,0.006452174968130532,0.8694620160829454,0.0560864612814926,0.9937711358070374,0.01719198244002958,0.5706009715795517,0.18207521550357342
51,0.9952447386015029,0.007241355432640938,0.8643800900095985,0.05859281583910897,0.995067889491717,0.014679736457765102,0.5987920959790548,0.16929160244762897
52,0.9953891209193638,0.007368740891771657,0.8647556617146447,0.058519022805350165,0.9937141338984171,0.018069776939228177,0.5538394624988238,0.18930626350144544
53,0.9953967786970592,0.006924315377892483,0.8727149452481952,0.05506861032474609,0.9937281906604767,0.017770784596602123,0.5593189696470896,0.18693497776985168
54,0.9955806419962928,0.006488208259854998,0.8718848370370411,0.05513899702401388,0.9951063891251882,0.015446854988113046,0.6181462084253629,0.16200872386495271
55,0.9953020498866126,0.007242463994771242,0.8778981878643944,0.05318618423881985,0.9926284005244573,0.019561542896553874,0.5359039008617401,0.1973750957598289
56,0.9954268222763425,0.006853760907515174,0.8753320234162467,0.053979557539735525,0.9947256942590078,0.016492589415671926,0.5858635008335114,0.17555004668732485
57,0.9955397787548247,0.006582104068781648,0.8803442489533198,0.05181158688806352,0.9944236079851786,0.01731799589470029,0.5420006364583969,0.19359053298830986
58,0.9955238075483412,0.006323714784923054,0.8843421112923395,0.05005747612033572,0.9940658658742905,0.018105510583457846,0.5687691867351532,0.1833556623508533
