epoch,acc,binary_crossentropy,dice_coef,loss,val_acc,val_binary_crossentropy,val_dice_coef,val_loss
0,0.9793069388555444,0.07171002014175705,0.1633327331231988,0.37769281993741577,0.007549885885729905,15.821641829706007,0.014986378921856803,9.886979964471632
1,0.9791452625523442,0.05722170598481013,0.20507935531761334,0.35230136954266095,0.18277800227365187,10.924443091115643,0.01824248978687871,6.947388202913346
2,0.9787849732067274,0.055756197999353,0.20477264828008154,0.3515450656414032,0.6267570180277671,4.325523132278073,0.055584448780263626,2.9730753456392596
3,0.9807477463846621,0.05243119694616483,0.18628590845543405,0.3569445480471072,0.40688762741704143,4.884918851237143,0.025110782875168706,3.3209064698988393
4,0.9787355220836141,0.05352367428333863,0.18434089843345725,0.358377693787865,0.8929191039454553,0.386072501540184,0.09995136674373381,0.5916615570745161
5,0.9778625265411709,0.057394444942474365,0.1851514568147452,0.3603760561217432,0.6749395478156305,2.503198684703919,0.07113866345776666,1.873465475536162
6,0.9794903553050497,0.05238209608132425,0.2164213715688042,0.34486125733541406,0.8255370682285678,0.35866487314624174,0.10844859243802456,0.5718206234516636
7,0.9801472917847012,0.05552102916914484,0.20914137395827667,0.3496560635774032,0.889408084654039,0.5835580473705646,0.13412646564745134,0.6964828237410514
8,0.9804692268371582,0.053255861463106194,0.1920613031024518,0.3551292704499286,0.8722651485473879,0.7657770754829529,0.14936664628405724,0.7997196220582531
9,0.979511673035829,0.05904700833818187,0.22900993927665378,0.34382390328075574,0.7372433370159518,1.593304633132873,0.11959786076218851,1.3081419006470711
10,0.9814360038093899,0.05294416601891103,0.25579700554194656,0.32944776376952295,0.8890785824867987,0.4965191038866197,0.20279989367531193,0.61679177995651
11,0.9799725646558015,0.050390552405429924,0.2189457241607749,0.34265595026638196,0.8617910242849781,0.8194878433019884,0.1635907887210769,0.8262537275591204
12,0.9792359445406043,0.053748200283102364,0.21281998604536057,0.3471209860366324,0.9792599927994513,0.07568458047124647,0.19811649605417775,0.3661642699472366
13,0.9790014158124509,0.052677936528040016,0.19975917170877042,0.3517034598018812,0.9118416040174423,0.39915127841936004,0.20721619047464862,0.5566036335883602
14,0.9804117031719374,0.05384742371414019,0.22813206943480865,0.3410555072452711,0.9580964907523124,0.14311230753458315,0.18031116959548765,0.4137435411253283
15,0.9808145372763925,0.049591992617301316,0.19887026528949323,0.35020662520242773,0.9760959033043154,0.0839527684354013,0.22335315925339538,0.36103034500152836
16,0.9805627102437227,0.0508892754011828,0.2192650521578996,0.3428275973900505,0.9816617465788319,0.0629428685192139,0.2292513683618557,0.3460649771075095
17,0.9795353438543237,0.05282748693033405,0.206191664804583,0.3492202305275461,0.9907877002992937,0.0420084122207857,0.1902664774745297,0.34909907271785123
