epoch,binary_acc_ch0,binary_crossentropy,dice_coef_rounded_ch0,dice_coef_rounded_ch1,loss,mean_iou_ch0,val_binary_acc_ch0,val_binary_crossentropy,val_dice_coef_rounded_ch0,val_dice_coef_rounded_ch1,val_loss,val_mean_iou_ch0
0,0.9551155625451957,0.10254303257792227,0.0008291216351696471,0.08986450179385898,0.42448115541088965,0.45190327975057787,0.9950589173369937,0.032684882481892906,0.0003978552849730477,0.6492425070868598,0.3603109121322632,0.49146024882793427
1,0.9812222152459816,0.06039277616827214,0.2819066468540858,0.5605014025187883,0.3357673951836883,0.4952019599617505,0.9655372367964851,0.04680773719317383,0.21353107773595387,0.7316109571192,0.33256757424937355,0.5208243529001871
2,0.981450406254315,0.06737645361267153,0.5459495528799588,0.6819378753177455,0.25187668668442087,0.5460034911749793,0.9739179710547129,0.06432078820135859,0.25932546456654865,0.7836887207296159,0.3060358878639009,0.5662264227867126
3,0.9851336248459355,0.05509122004432063,0.6214772453231197,0.7474046445661976,0.20869646389638224,0.578892913556868,0.9871119558811188,0.05212172783083386,0.4021804432074229,0.6794224977493286,0.27676382660865784,0.5948695474200778
4,0.986834837992986,0.04995255302637815,0.6071028367926677,0.7693436106046041,0.20070334362487,0.6032004902760187,0.9781958858172098,0.0791342639260822,0.2923085118333499,0.7473856442504458,0.3051170739862654,0.6106971667872535
5,0.9911383102017064,0.04316562330049853,0.7095054522637398,0.818140777849382,0.1595564446141643,0.6150180870486844,0.9927604297796885,0.06039212106002702,0.5314742939339744,0.6689108709494272,0.2426955352226893,0.6236328913105859
6,0.990308419863383,0.044176396417121094,0.7117668290932974,0.8220131695270538,0.15364758049448332,0.6303599228461584,0.9940272668997446,0.05398955299622483,0.572492253449228,0.7592575881216261,0.2187276085217794,0.6371525824069977
7,0.9912686405643341,0.04286965334247197,0.7408928659654432,0.8262891807863789,0.14277405508102908,0.6428240441506908,0.9866371519035764,0.07810721960332659,0.3970335614350107,0.6863810122013092,0.28462958335876465,0.6480303439829085
8,0.9913855016231536,0.0412379203364253,0.7490394383668899,0.8355981022119522,0.1376132139315208,0.6514688163995743,0.9870263073179457,0.055925588226980634,0.40425538851155174,0.7398507396380106,0.2598777678277757,0.6557840241326226
9,0.9922223610262717,0.038408232251963305,0.765630716277707,0.8190715255275849,0.13368327074473904,0.6583211518103077,0.993197136455112,0.03682734010120233,0.5447306285301844,0.813730862405565,0.1969885586036576,0.6633159650696648
10,0.9915436923503875,0.03932016526038448,0.7592086126406987,0.84197212656339,0.13133952133357524,0.6667643298705419,0.9861866301960416,0.08778956822223133,0.3903365929921468,0.6315770712163713,0.30354981621106464,0.6695985462930467
11,0.9925087421171127,0.036670919627912586,0.7931025720411732,0.8501601738314475,0.11683533677170353,0.6713450570260325,0.9900599784321256,0.057011979528599314,0.5009484754668342,0.7903449005550809,0.22193029688464272,0.6754167907767825
12,0.9928020228942235,0.0333659328520298,0.7972844610611598,0.8471319814523061,0.1154091044018666,0.677828789750735,0.9922831124729581,0.03749309480190277,0.521241947180695,0.8412702116701338,0.19678013688988155,0.681222677230835
13,0.9920222566973779,0.03522733100239308,0.7851857716037381,0.8701729332247088,0.11468237518302855,0.68357261150114,0.9902697006861368,0.06249216654234462,0.48394109805425006,0.7608715660042233,0.23709899849361843,0.6864072448677487
14,0.9931964615980784,0.03667813915138443,0.8009492446978886,0.837340251604716,0.11756575306256613,0.6879820416371027,0.9922779136233859,0.049755238410499364,0.5147002620829476,0.7726337412993113,0.2194058878554238,0.690821475452847
15,0.99349638723558,0.027292844689180775,0.8264826786133551,0.8808823304791604,0.09679102633268602,0.6928472345875155,0.9930694533718957,0.04651009808811876,0.5703101878364881,0.8259545895788405,0.18945751090844473,0.695845365524292
16,0.9937912404537201,0.023899698381622633,0.8460178563992182,0.9015481601158778,0.08400597510238489,0.6980568130811056,0.9938822521103753,0.04701210206581487,0.5737622678279877,0.7893721527523465,0.1956728059384558,0.7008916106488969
17,0.993777915354698,0.028186200697335503,0.8362967487304441,0.8836465747125687,0.09262987574742686,0.7028328930177996,0.9958244893285964,0.04157338456975089,0.6340109772152371,0.7832766572634379,0.17706745697392356,0.7055553065405952
18,0.9933076272408168,0.02525876710812251,0.8283625493446986,0.9003535509109497,0.09009603026012579,0.7075596918662389,0.9954581128226386,0.040895132761862546,0.6376052051782608,0.805535184012519,0.17023270080486932,0.7100091907713149
19,0.9937403355875323,0.02381423013585229,0.8451271345538478,0.9082883596420288,0.08259674594286949,0.7118827892887977,0.9956502550178103,0.0429128013137314,0.6482647392484877,0.7825913495487637,0.17288938992553288,0.714386651913325
20,0.9938476075728734,0.02097343374043703,0.8638925502697626,0.9190148204565048,0.07306705613931021,0.7163151144981384,0.9949075347847409,0.044013705311550036,0.642102513048384,0.8180705739392174,0.1684335461921162,0.7189502451154921
21,0.9940075220600251,0.023775930997104414,0.8475727188971734,0.899544692808582,0.08345268198078679,0.720738282126765,0.9936758710278405,0.06998359825876024,0.5936904235018624,0.6255827446778616,0.24113859236240387,0.7224895391199324
22,0.994066979487737,0.022271365982790788,0.8613889942566554,0.909820732474327,0.07682862368722757,0.7238926043113073,0.9967105554209815,0.03884751887785064,0.7410732160011927,0.8278557194603814,0.13414141618543202,0.7262540956338247
23,0.9948927337123502,0.019805135175345406,0.86293008635121,0.909783378724129,0.07470003815908585,0.727930974575781,0.9969667494297028,0.050699608917865485,0.7612257301807404,0.771111355887519,0.14624540756146112,0.7297308279408349
24,0.9943585475285848,0.01969186820400258,0.8740023483832677,0.9243268618981043,0.0682815631851554,0.7315500915050507,0.9947897460725572,0.04011476536591848,0.6145369476742215,0.8057063023249308,0.1779577632745107,0.7332795030540891
25,0.9946610850672568,0.019516881915830796,0.872627810124428,0.9168748163407848,0.06987062433073597,0.734470498177313,0.9968010385831197,0.04107243215872182,0.6940744916598002,0.7803213397661845,0.15728977653715345,0.7362780935234494
26,0.9943195134401321,0.018396205517152944,0.8860027035077412,0.9296195248762766,0.06273203318317731,0.737885711590449,0.9978866312238905,0.03360005354301797,0.7897250685426924,0.8158770832750533,0.11900270150767432,0.7399681210517883
27,0.9949102882416018,0.016741828572365544,0.8836839564384953,0.9264485759119834,0.06332200657456152,0.7415397590206515,0.9979551103379991,0.04522808165185981,0.799109978808297,0.7848820288976034,0.12848356697294447,0.7432721853256226
28,0.9945301483074824,0.015089127079894146,0.8969933450222015,0.945181060830752,0.05427335537970066,0.7450541496276856,0.9966896110110812,0.04191447960005866,0.7099462085300021,0.8180024127165476,0.14640468690130445,0.7468519674407111
29,0.9947869508497177,0.01514955438793667,0.8914715763061277,0.939857381005441,0.057022619752153274,0.7482725266487368,0.9969258738888634,0.048819610849022865,0.7520848446422153,0.7978126837147607,0.14124505470196405,0.749857849544949
30,0.9950215458869934,0.013853919754425684,0.9021178116401036,0.9431770990292231,0.05282656271010637,0.7512621998786926,0.9948023822572496,0.03851328376266691,0.598125997516844,0.8287460737758212,0.17598176333639357,0.7525864574644301
31,0.995065317999932,0.013947720819663617,0.8981530877851671,0.9470156258152377,0.05298089512413548,0.7534605245436391,0.9979632331265343,0.04883800819516182,0.7974255614810519,0.7758806380960677,0.1314223532875379,0.7550678683651818
32,0.9948735432546647,0.014803254076081221,0.9097318395239408,0.9443267613160805,0.05079811603808012,0.7564626502209022,0.9967489838600159,0.04016002619432078,0.7125422027375963,0.8092722064918942,0.14718732486168543,0.7580881847275628
33,0.9950163442580426,0.016961094175205856,0.8982857426659006,0.9228078752267556,0.05993400819477488,0.7591139097682765,0.9979786376158396,0.05642857692307896,0.8180122938421037,0.7647804816563925,0.1320435462726487,0.760580430428187
34,0.99498259337222,0.014786410114926393,0.9060650809866483,0.9409471105356686,0.05266828175450935,0.7619792838565639,0.9978013998932309,0.047298971149656505,0.7799335552586449,0.7874825398127238,0.13402882632282045,0.7633711993694305
35,0.9950519663388612,0.014018962495639676,0.9047802168814862,0.9463117660069075,0.05136479748809924,0.7644894826607626,0.998268746667438,0.054376385278171964,0.8196813662846884,0.7559377716647254,0.13152554796801674,0.7658397290441725
36,0.9950488952339672,0.013462095872544851,0.9110114271523523,0.9478548755411242,0.04913018882030346,0.7669546525986468,0.9977010091145834,0.054449865180585116,0.7809530562824674,0.7453003823757172,0.1451025836997562,0.7683347198698256
37,0.9940579601975738,0.029950218443132816,0.8502170277423546,0.8648297864882672,0.09289136150332748,0.7693230617241781,0.9895280831389957,0.0557220834824774,0.480563432806068,0.808834907081392,0.22376023729642233,0.7694392568535275
38,0.9930396137699005,0.03130451574801437,0.8200922742966683,0.862523486537318,0.10343095443902477,0.7691544582766872,0.9967554211616516,0.03620778520901998,0.7052459783024259,0.7849481238259209,0.15257862624194887,0.7699012127187517
39,0.9946098188559215,0.021224945783615112,0.8895099510749181,0.9103822360436121,0.06784816632668177,0.7706832200288772,0.9969177709685432,0.04329433209366269,0.7055259943008423,0.7620717618200514,0.1601246843735377,0.7716556390126547
40,0.9949150527677229,0.018130184722042853,0.9011469791012425,0.9183239840692089,0.06063045657450153,0.7724357862626353,0.9975176586045159,0.04854847946100765,0.767626189523273,0.7953475150797102,0.13764800628026327,0.7735919223891364
41,0.9946942130724589,0.01801617114494244,0.9019573986530304,0.9295168032248815,0.05812811801830928,0.774503767490387,0.997265468041102,0.034790349606838494,0.773344467083613,0.8092778689331479,0.12733318077193367,0.7756916748152839
42,0.9952551607162722,0.016953864675616066,0.9026256588197523,0.9205213496761937,0.059111345799699906,0.776581346988678,0.9977347486548953,0.03849716318978204,0.7836328380637698,0.8102119101418389,0.12538342343436348,0.7774763206640879
43,0.9952128261327744,0.014252568890030185,0.9051945805549622,0.940313532948494,0.05258726521084706,0.7782411863406499,0.9972721735636393,0.04996944756971465,0.7780298988024393,0.7962056464619107,0.13485260473357308,0.7791819936699338
