epoch,binary_acc_ch0,binary_crossentropy,dice_coef_rounded_ch0,dice_coef_rounded_ch1,loss,mean_iou_ch0,val_binary_acc_ch0,val_binary_crossentropy,val_dice_coef_rounded_ch0,val_dice_coef_rounded_ch1,val_loss,val_mean_iou_ch0
0,0.9486015085977587,0.11121772754598748,0.000537333771882748,0.11168406977884099,0.46176593141122296,0.44351628151806916,0.9826706409454345,0.18541233390569686,5.8503670879872514e-05,0.3822905957698822,0.48562791347503664,0.49020231068134307
1,0.980533766746521,0.07738458164609395,0.11047065961891069,0.5090556309773372,0.3911714590512789,0.4921438794869643,0.983286714553833,0.41882785558700564,0.3148901164531708,0.2882136434316635,0.5966339588165284,0.495035657286644
2,0.9860068330397973,0.07598886767832133,0.4125185611156317,0.5990667466933911,0.32714806978519145,0.49972651050640987,0.983803927898407,0.24025564789772033,0.4184139847755432,0.4233028531074524,0.43385143876075744,0.5094294667243957
3,0.985190361738205,0.08082568018951199,0.4049505530433221,0.5883295061913404,0.32004211165688257,0.5195244171402671,0.9778577506542205,0.1400286078453064,0.4126607835292816,0.6588847458362579,0.32621116042137144,0.5294610321521759
4,0.986474878154695,0.06268572781118564,0.4478900390677154,0.6593778245151043,0.2805837714113295,0.5402732230722904,0.976447480916977,0.14687224254012107,0.43204271197319033,0.7162302434444427,0.30996076613664625,0.5466775536537171
5,0.9891263327815316,0.06382071794095365,0.3988799202171239,0.6460093584927645,0.29545455696907913,0.5538248690691862,0.9809561252593995,0.18531427681446075,0.46533371806144713,0.6615549266338349,0.32869879603385926,0.5594712853431701
6,0.991770620457828,0.05384898604825139,0.5152059970423579,0.7182548586279154,0.24082064372487366,0.5667437212541699,0.9811221063137054,0.10254022404551506,0.4852022469043732,0.7558408856391907,0.25822012424468993,0.5708130598068237
7,0.9909388477152045,0.06228987737135454,0.48543990471146325,0.6936079209501093,0.2570630528710105,0.5761472664096139,0.9831513881683349,0.1525132730603218,0.40614157915115356,0.6787665545940399,0.3255558907985687,0.5793657243251801
8,0.9926854856312275,0.05830000707646832,0.49355462205130607,0.7001783642917871,0.2525020679458976,0.5834378683939576,0.9863330364227295,0.08842829763889312,0.5023261487483979,0.7683929622173309,0.24613595008850098,0.5863565742969513
9,0.9906123632734473,0.06064807369627736,0.4842311045662923,0.7056200829419222,0.250872402028604,0.5902934264052998,0.9795594096183777,0.21785113215446472,0.4176397979259491,0.6562996208667755,0.3563285619020462,0.5929572463035584
10,0.9914259761571884,0.06501574302092195,0.5025074300356209,0.6957131894305348,0.25107414252124727,0.5960064819082618,0.9835360765457153,0.12338724285364151,0.5433400690555572,0.764884614944458,0.2515185236930847,0.5987955689430237
11,0.9925376827066595,0.06620923353528435,0.516061432659626,0.6988512006672946,0.2469490346583453,0.6027690280567516,0.9869991719722748,0.12017140313982963,0.5662599265575409,0.7543710112571717,0.24491872191429137,0.6051051437854766
12,0.9909271486103535,0.07346054090885445,0.5006953519769013,0.6949397027492523,0.2571655670180917,0.6083522913977504,0.9814152717590332,0.12123138010501862,0.48587778210639954,0.7342662870883941,0.27209167629480363,0.6097428500652313
13,0.9908771514892578,0.06566067522561009,0.5617637972940098,0.7014400173317302,0.23075643859126352,0.6122246276248585,0.9844648122787476,0.21178490221500396,0.43003236651420595,0.6484104633331299,0.35278613269329073,0.6133969366550446
14,0.9922585254535079,0.06814588187262416,0.45529566099867225,0.6914179418236017,0.26660317927598953,0.6142587540671229,0.9818617463111877,0.1152879312634468,0.4843180775642395,0.7798205375671386,0.2595606565475464,0.6153921008110046
15,0.9910113215446472,0.06115614724430171,0.47055086662823503,0.715021780946038,0.2547166049480438,0.6172552488066934,0.9834738969802856,0.16006607115268706,0.5369303405284882,0.7038344204425812,0.2827095463871956,0.618285745382309
16,0.990497162565589,0.06890181411290541,0.45500968862324953,0.6976037044078112,0.26495842169970274,0.6197652220726013,0.9864862561225891,0.10594774186611175,0.5665302991867065,0.793037748336792,0.2319120168685913,0.6206139624118805
17,0.9907300120050256,0.06032670035280965,0.5110765993595123,0.711890613490885,0.241990096189759,0.6221533200957559,0.9845572590827942,0.1203784003853798,0.4815778791904449,0.7665633022785187,0.27149916887283326,0.6226699650287628
18,0.9907788382843137,0.056188876274973154,0.5047808908857405,0.7326357085257769,0.23757156427018344,0.623749079182744,0.9884984731674195,0.10275158658623695,0.5886555969715118,0.7457545518875122,0.23146544694900512,0.6246039509773255
19,0.99207803606987,0.054741274057464165,0.5373323329470374,0.7298236137086694,0.22803872485052457,0.6261087954044342,0.9864370226860046,0.12331761568784713,0.5448926389217377,0.7169376134872436,0.25958473086357114,0.6270122766494751
20,0.9906811201944947,0.05393628648016602,0.5182848800905049,0.7302315523847938,0.23284388007596135,0.6283096494153142,0.9876425683498382,0.12110637724399567,0.4725377380847931,0.7279300272464753,0.27913044989109037,0.6285215020179749
21,0.9926627657630227,0.05138063667850061,0.5587684200568632,0.7374555631117388,0.21906644715504212,0.6289581060409546,0.989158546924591,0.10156554877758026,0.6003451406955719,0.7466524481773377,0.2275792434811592,0.6299458742141724
22,0.9917549151640672,0.06098813325739824,0.5299268793601256,0.7191405745653006,0.23558695316314698,0.6310880028284513,0.9837834239006042,0.1960914045572281,0.46324474215507505,0.6474033474922181,0.33431915640830995,0.6316937625408172
23,0.9926695759479817,0.045970660705979056,0.6266257795003745,0.7559707825000469,0.19323754700330587,0.6326677817564744,0.9853317737579346,0.17653288841247558,0.3035028904676437,0.6174114286899567,0.3778586804866791,0.6330379545688629
24,0.9928176701068878,0.04837441351264715,0.5479067171161826,0.7482242638414557,0.21787416731769388,0.6327950114553625,0.9869212865829468,0.12339441105723381,0.4420461177825928,0.7100760877132416,0.2902778685092926,0.6330795109272003
25,0.9926162054762244,0.05131431377958506,0.5835224806796759,0.7305987039580941,0.21185190207324922,0.6335263820365071,0.9844682455062866,0.12183273658156395,0.49663662910461426,0.7331372082233429,0.2697891429066658,0.6341820478439331
26,0.9918285039338198,0.06516469219191508,0.5592422715642236,0.7229875840924003,0.22838855399326843,0.6350946832786907,0.986553966999054,0.16076649725437164,0.5223272740840912,0.7179035484790802,0.28374636769294737,0.635518366098404
27,0.9924131808802485,0.054213151743169874,0.5698424787260592,0.7321221083402634,0.21749275247566402,0.6363320862874389,0.9859672367572785,0.13715190142393113,0.3741274029016495,0.6987821400165558,0.3224217265844345,0.6364949584007263
28,0.9935942075469277,0.047315788878635925,0.6328004503791983,0.7498678023164923,0.19179364835674112,0.63674903457815,0.987045693397522,0.1298462025821209,0.43192836046218874,0.7522433042526245,0.29094171822071074,0.6372422695159912
