epoch,binary_acc_ch0,binary_crossentropy,dice_coef_rounded_ch0,dice_coef_rounded_ch1,loss,mean_iou_ch0,val_binary_acc_ch0,val_binary_crossentropy,val_dice_coef_rounded_ch0,val_dice_coef_rounded_ch1,val_loss,val_mean_iou_ch0
0,0.941471162119082,0.10866532208664077,0.0012752308535882982,0.00031138670974108944,0.43127054827553885,0.4413058544908251,0.995204950372378,0.03688587838162979,0.00027456388731176656,3.3285295406434066e-05,0.38287732005119324,0.49105573693911236
1,0.9865724529538836,0.046751266522776516,0.12928349079517093,0.6300875436350214,0.3119807796818869,0.4939771464892796,0.9901555975278219,0.03246874315664172,0.4413970559835434,0.6540049587686857,0.3539547249674797,0.496913639207681
2,0.9866003479276385,0.04310950681212403,0.6657593959853763,0.7446998755137125,0.22070524947983877,0.5190616122313908,0.9952184210220972,0.10193867298463981,0.007871841752300194,0.10076454343895118,0.5204048951466879,0.5520559797684351
3,0.9888020101047698,0.039034975781327204,0.6582306765374684,0.8254093698092869,0.17102646685781933,0.5689509709676107,0.9972352484862009,0.025821757813294727,0.689970408876737,0.7387933631738027,0.19160113235314688,0.5905968050161997
4,0.9905702301434108,0.03754010654631115,0.7177730316207522,0.8456717161905198,0.14732783145847775,0.6041945077124096,0.9950686246156693,0.09942032893498738,0.5517690268655618,0.4029751767714818,0.30912801374991733,0.6220505038897196
5,0.9917816037223453,0.026100743384588333,0.76158730614753,0.9022685090700785,0.11306818290835335,0.6347248327164423,0.9948825836181641,0.11100253462791443,0.47904814779758453,0.3561210284630458,0.3447504788637161,0.6451922208070755
6,0.9928422229630607,0.029781004413962364,0.8009815017382304,0.890308365935371,0.10636904693785168,0.6528672405651638,0.9960463643074036,0.0914364183942477,0.4971141715844472,0.4533732831478119,0.31083246568838757,0.6614387979110082
7,0.9936068994658334,0.022929235583259946,0.8228291954313006,0.9040219868932452,0.09085189905904588,0.6679012832187471,0.9951298286517462,0.09299252678950627,0.48507263759771985,0.47273629407087964,0.3096171220143636,0.6750656316677729
8,0.993757841132936,0.021527151266733806,0.8423472557749067,0.9149197311628432,0.0818484556816873,0.6815347103845506,0.9939582645893097,0.16363690296808878,0.4467671401798725,0.33238428086042404,0.3852187568942706,0.6866922130187353
9,0.9933218019349235,0.023671421798921767,0.8223287888935634,0.908051575933184,0.08958414090531212,0.6901814086096627,0.9952673812707266,0.1835667093594869,0.29116272926330566,0.18709418177604675,0.471461479862531,0.6947546750307083
10,0.9941224938347226,0.02164789555328233,0.8576457131476629,0.919981544926053,0.07606084219047002,0.698233962059021,0.9964571893215179,0.0834336696813504,0.5394261808445057,0.5399482399225235,0.2753293812274933,0.7030095458030701
11,0.9938104691959563,0.021384920747507186,0.8445971409479777,0.9224191847301665,0.07837523715127082,0.7065179206076122,0.9965503911177317,0.07059340241054694,0.6595044732093811,0.6344267924626669,0.2138811374704043,0.7116425981124243
12,0.9946117315973554,0.015641408041119576,0.8639267455963862,0.9333681350662595,0.06769137776323728,0.7152578007607233,0.9961969802776972,0.07938836328685284,0.6248147748410702,0.6347165902455648,0.2281122306982676,0.7191773951053619
13,0.9941411955016,0.01766611152284202,0.8822353680928549,0.9381045727502733,0.06187987079222997,0.7227693455559867,0.9956345210472742,0.08245199111600716,0.6041041711966196,0.6453757534424464,0.2335601548353831,0.7276044289271036
14,0.9948615147953942,0.01342546119399014,0.8864656658399672,0.9460138593401227,0.056958390665905814,0.7304102239154634,0.9969772100448608,0.07715768367052078,0.6154064834117889,0.599906196196874,0.2354573185245196,0.7336428811152776
15,0.9942692234402611,0.017686081074533008,0.8764004792485919,0.9370223397300357,0.06338513855423246,0.736738505817595,0.997718503077825,0.052707190004487835,0.7139318386713663,0.6948404113451639,0.17558578525980315,0.7399086157480875
16,0.9946296243440538,0.015532328037633783,0.8812008017585391,0.9411375834828332,0.0602650920904818,0.7429008483886719,0.9985388517379761,0.03533667139708996,0.8199715117613474,0.770480235417684,0.12067364901304245,0.7461375743150711
