epoch,binary_acc_ch0,binary_crossentropy,dice_coef_rounded_ch0,dice_coef_rounded_ch1,loss,mean_iou_ch0,val_binary_acc_ch0,val_binary_crossentropy,val_dice_coef_rounded_ch0,val_dice_coef_rounded_ch1,val_loss,val_mean_iou_ch0
0,0.9193240389937446,0.2438976409889403,0.42539847353916793,0.6749693148192906,0.5122091727597373,0.51933182988848,0.995278795560201,0.2774962360660235,0.0002973855589516461,3.421817897712268e-05,0.6386483510335287,0.5958187033732733
1,0.9891167737188793,0.04320196603380498,0.7369790730022249,0.9250951749937875,0.24985702335834503,0.6223637433279128,0.81365138789018,1.4927072723706563,0.0315830932619671,0.08973068247238795,1.2192948559919994,0.5832475672165552
2,0.9938391759282067,0.020802705593052365,0.8558023657117572,0.9175822763215928,0.121126950496719,0.55289245787121,0.995617871483167,0.05904137094815572,0.656925360361735,0.6443801720937093,0.24621590971946716,0.5713609953721365
3,0.9938163956006368,0.019311355471256234,0.8370640363012042,0.92826551482791,0.09160043547550838,0.5836985026087079,0.9939090410868326,0.10772824939340353,0.5873184675971667,0.6329528465867043,0.29374951124191284,0.5970535079638163
4,0.9945165713628134,0.01656616847252562,0.8684222754977998,0.934774847257705,0.07306281459473428,0.6067849880173093,0.9784441292285919,0.19128796209891638,0.31942326327164966,0.5058520088593165,0.42025795330603916,0.6160909136136373
5,0.9943341045152574,0.014274260117894127,0.8788580128124782,0.9461725269045148,0.06394770244757335,0.6226030190785726,0.9940828581651052,0.07578835760553677,0.5582614888747534,0.6161217192808787,0.26765234520037967,0.6315150260925293
6,0.995169148558662,0.012543845123478345,0.9027499357859293,0.9502231223242623,0.05415074243432,0.6383868115288871,0.99374920129776,0.07178439199924469,0.5901449446876844,0.6845340977112452,0.23825377970933914,0.6461433619260788
7,0.9947121540705363,0.01827844906420935,0.8839581523622785,0.9275723298390707,0.06631333363198098,0.6521124726250058,0.99624070028464,0.07102715720733006,0.519600602487723,0.4127526444693406,0.3116692428787549,0.6579947372277578
8,0.9947778838021415,0.014376307926362469,0.8994808679535276,0.9457509829884484,0.05522531838644119,0.6635686471348717,0.994950994849205,0.2148342796911796,0.08494841641125579,0.013056736018673595,0.577221636970838,0.6675172646840414
9,0.9952615726561773,0.011381263933366253,0.9147623380025228,0.9545770457812718,0.047335742839745114,0.6709650215648469,0.9957755953073502,0.16671161664028963,0.37813105434179306,0.021817679649454174,0.4667220239837964,0.6754923661549886
