epoch,acc,binary_acc_ch0,binary_crossentropy,dice_coef,loss,val_acc,val_binary_acc_ch0,val_binary_crossentropy,val_dice_coef,val_loss
0,0.9502023962281999,0.9502023962281999,0.09480112010524386,0.08105466568044253,0.4244588116804759,0.9949858043644879,0.9949858043644879,0.021797968502584343,0.106570497054506,0.3704505812477421
1,0.9788363178571066,0.9788363178571066,0.04980536869594029,0.19267166831663676,0.35281453955741154,0.9949858043644879,0.9949858043644879,0.025609091314411647,0.013243476671443597,0.41006807781554555
2,0.9724318668955848,0.9724318668955848,0.05411255767657643,0.19777813163541613,0.3533563017845154,0.9944939178389471,0.9944939178389471,0.03028459122052064,0.02705768054993068,0.40734767188897003
3,0.9704416621299017,0.9704416621299017,0.06094136834144592,0.2133163795584724,0.35123825782821294,0.9668052615346135,0.9668052615346135,0.053474248059698054,0.10338908740998926,0.3907289021723979
4,0.9777704250244867,0.9777704250244867,0.05069607176951,0.2624295488709495,0.32544586346262977,0.9395568241944184,0.9395568241944184,0.10372212629865955,0.10712889496337723,0.419381703073914
5,0.9794300879750933,0.9794300879750933,0.04889282211661339,0.3279822908696674,0.29814280356679645,0.9700336810704824,0.9700336810704824,0.06477168554792533,0.13385085006420677,0.38532261510153076
6,0.9808476169904073,0.9808476169904073,0.04790275561667624,0.3626689797356015,0.283673936412448,0.9661390733074497,0.9661390733074497,0.0759069720232809,0.13793729819558762,0.39036922277630987
7,0.9811574958619618,0.9811574958619618,0.04844836021463076,0.39290545596962884,0.271906846335956,0.9914692511429658,0.9914692511429658,0.0385338980704546,0.027087111117293103,0.4122855188073339
8,0.9812020829745701,0.9812020829745701,0.04766214301898366,0.39145717166718985,0.27201485137144726,0.9656996630333565,0.9656996630333565,0.06986755334042213,0.1389768879759956,0.38633037499479345
9,0.9825200041135153,0.9825200041135153,0.046648217276448294,0.4057276901744661,0.2656977808191663,0.9777556722228592,0.9777556722228592,0.05212969554437173,0.1265089149662369,0.3806736517596889
10,0.9831346727552868,0.9831346727552868,0.04603789799979755,0.4269866262163435,0.25682780075640904,0.9909915698541177,0.9909915698541177,0.03837770067558095,0.05388975730858039,0.40146980736706706
11,0.9838814536730448,0.9838814536730448,0.04414682232198261,0.4423090772969382,0.2495644348008292,0.9676841626296172,0.9676841626296172,0.07590550576915613,0.10377790763772823,0.4040316866861807
12,0.9845076685860044,0.9845076685860044,0.0434144852416856,0.4595880579380762,0.2422133336464564,0.9878703629648363,0.9878703629648363,0.03144835768821272,0.15364944028693275,0.35740931130744313
13,0.9848405633653913,0.9848405633653913,0.04351073397057397,0.4645816513470241,0.24027361614363535,0.99435748119612,0.99435748119612,0.03546279500163085,0.047547530993265474,0.4022594070112383
14,0.9828270049322219,0.9828270049322219,0.04960483986706961,0.4339257223265512,0.2561924989734377,0.9492589138649605,0.9492589138649605,0.09866817033774145,0.10946578336124485,0.41541472238463323
15,0.9839839821770078,0.9839839821770078,0.04301186509075619,0.4450501771200271,0.24778724781104497,0.9898517470102053,0.9898517470102053,0.030910776172940795,0.0818140161462833,0.385820980007584
16,0.9852196176846822,0.9852196176846822,0.04559393963288693,0.4555037674449739,0.24515471713883535,0.9855422587008089,0.9855422587008089,0.041096558794379234,0.12433810480492744,0.37492290944666473
17,0.9855582430249169,0.9855582430249169,0.04011442778365953,0.4862713402225858,0.22955995017573946,0.9932923687470926,0.9932923687470926,0.0319278737580454,0.07933251441431206,0.3874249128071037
18,0.9857146881875538,0.9857146881875538,0.044428963568948564,0.48129190291677204,0.23414054938725062,0.9828066954741607,0.9828066954741607,0.04804767527290293,0.1172191314273388,0.38194086583884984
19,0.9859670514152163,0.9859670514152163,0.04011790152816545,0.49238501276288715,0.22711684164546786,0.9841403896744186,0.9841403896744186,0.040790459191476974,0.11920587138927265,0.3767930092038335
20,0.9858918019703456,0.9858918019703456,0.04115070580016999,0.49644198587962557,0.2261137706892831,0.9929639970934069,0.9929639970934069,0.028781396160657342,0.12978758084008823,0.3653534489708978
21,0.9866307775179545,0.9866307775179545,0.03989145691905703,0.5026208800928933,0.2228865744102569,0.9814216059607428,0.9814216059607428,0.052951899936070315,0.17359439641035893,0.36233388249938553
