epoch,binary_acc_ch0,binary_crossentropy,dice_coef_rounded_ch0,dice_coef_rounded_ch1,loss,mean_iou_ch0,val_binary_acc_ch0,val_binary_crossentropy,val_dice_coef_rounded_ch0,val_dice_coef_rounded_ch1,val_loss,val_mean_iou_ch0
0,0.9409445579208079,0.11028265385400682,0.0018450013525407052,0.05226597433578545,0.4250277678171794,0.43957984021731783,0.9956487615903219,0.05375002697110176,0.0002728014890938842,0.25524504500511586,0.4340202485521634,0.49119560420513153
1,0.9870469172795614,0.04225314293234121,9.775536039212187e-05,0.6402436310336703,0.30968910171872094,0.49402240486372084,0.9956487615903219,0.08570143301039934,0.0002728014890938842,2.8338099279305123e-05,0.508270929257075,0.49526992191871005
2,0.9871749849546523,0.03849194003712563,0.6581343298866635,0.6804858999592918,0.2881178699788593,0.4981953303019206,0.9954532583554586,0.13728343322873116,0.006709378377612059,0.020712697102377813,0.5480374644200007,0.5007917831341425
3,0.9906717538833618,0.04019197324911753,0.7386511819703239,0.6028296138559069,0.2777568116074517,0.5024428651446388,0.9919252743323644,0.03844641832013925,0.4259791200359662,0.5835616936286291,0.3606065437197685,0.5043589373429617
4,0.9922504084450858,0.02544626269844316,0.7666490759168353,0.8124692269733974,0.16496195608661288,0.5174394249916077,0.9957797030607859,0.04089222320665916,0.5096576511859894,0.7182685087124506,0.23631872609257698,0.5397777805725733
5,0.9918412140437535,0.023804113801036562,0.7679594925471714,0.9008376002311707,0.1122751711379914,0.5630965403148106,0.9934128125508627,0.17789465313156447,0.21702839465190968,0.2842099890112877,0.47521290679772693,0.5807679742574692
6,0.9929080066226778,0.020691065871644588,0.8241264167286101,0.9198709612800962,0.08681225528319676,0.5960522634642464,0.9936357587575912,0.09523725447555383,0.457601398229599,0.5433442691961924,0.30821623653173447,0.6111010710398356
7,0.9939879576365153,0.01874425931878033,0.8411883059002104,0.9221534757387071,0.07938335126354581,0.6225507458051046,0.9956151843070984,0.25449930876493454,0.07280066658859141,0.11417707925041516,0.5842986702919006,0.6323041021823883
8,0.9939122796058655,0.021752927496674516,0.8371995971316383,0.9152589695794242,0.08295659330629167,0.6384976250784737,0.9954511672258377,0.1125070850054423,0.33468762164314586,0.5067560722430547,0.3570763443907102,0.6466459780931473
9,0.9940646546227592,0.01934752906007426,0.8626690251486642,0.9250775263423011,0.07206087399806295,0.6538425059545607,0.9945806860923767,0.18151542668541273,0.31128644198179245,0.341814490656058,0.42874108503262204,0.6617748141288757
10,0.9944375838552203,0.01875455557767834,0.8707962121282306,0.9263341284933544,0.06821274331637792,0.6678168603352138,0.9949126442273458,0.12598085093001524,0.39365657170613605,0.44968748341004056,0.35547015567620593,0.6739012946685156
11,0.9942926196824937,0.01729688181408814,0.873794158299764,0.934800942738851,0.06479963429626964,0.6795503014609927,0.9944709191719691,0.0733478982001543,0.5426181107759476,0.6612689892450968,0.24337307487924895,0.6854760746161143
12,0.9946239250046867,0.015567050004998842,0.8799880430811927,0.9407271969886053,0.06086997457203411,0.6906989529019311,0.9965868045886358,0.08478308655321598,0.5934975544611613,0.5993794649839401,0.24654528498649597,0.6962528079748154
